index,axis-0,axis-1
0,377,350
1,321,344
2,341,378
3,400,367
4,299,305
5,353,368
6,458,363
7,475,316
8,466,262
9,456,174
10,482,138
11,491,76
12,514,49
13,547,21
14,570,14
15,603,6
16,460,194
17,253,504
18,284,478
19,288,449
20,297,473
21,303,449
22,326,408
23,370,438
24,425,465
25,424,514
26,407,552
27,370,590
28,342,603
29,400,601
30,456,521
31,440,447
32,349,418
33,310,393
34,73,666
35,92,634
36,120,619
37,107,600
38,65,644
39,147,234
40,201,256
41,237,283
42,199,295
43,215,298
44,179,214
45,160,200
46,124,209
47,105,207
48,265,598
49,234,576
50,256,579
51,295,597
52,225,542
53,197,508
54,196,470
55,191,440
56,204,440
57,273,617
58,599,260
59,587,253
60,617,238
61,612,286
62,616,310
63,599,232
64,606,220
65,629,258
66,489,460
67,517,478
68,535,487
69,519,513
70,547,524
71,549,504
72,513,527
73,483,499
74,493,521
75,597,556
76,622,539
77,597,526
78,585,497
79,559,559
80,583,603
81,608,615
82,575,640
83,627,594
84,645,577
85,662,561
86,668,476
87,709,476
88,740,466
89,768,453
90,721,450
91,747,508
92,774,539
93,738,518
94,778,554
95,787,502
96,760,487
97,718,528
98,48,487
99,86,488
100,135,485
101,164,483
102,149,461
103,87,455
104,131,521
105,159,556
106,181,567
107,191,569
108,167,577
109,155,554
110,132,527
111,118,497
112,93,514
113,107,525
114,102,501
115,97,467
116,56,479
117,28,497
118,53,501
119,76,507
120,103,497
121,117,476
122,137,468
123,117,457
124,156,517
125,178,537
126,134,546
127,184,582
128,61,730
129,99,738
130,142,721
131,174,710
132,206,695
133,122,748
134,65,765
135,109,727
136,85,712
137,94,758
138,75,749
139,109,769
140,81,783
141,61,775
142,48,747
143,69,714
144,122,706
145,153,705
146,220,685
147,240,676
148,193,706
149,153,728
150,132,746
151,52,718
152,79,728
