index,axis-0,axis-1
0,82,640
1,134,623
2,71,734
3,138,728
4,84,774
5,203,694
6,198,703
7,241,672
8,195,444
9,204,515
10,252,600
11,301,604
12,350,603
13,411,557
14,407,572
15,398,535
16,455,489
17,370,439
18,292,396
19,394,556
20,358,354
21,400,357
22,319,542
23,352,542
24,302,531
25,258,477
26,249,531
27,310,473
28,328,438
29,336,476
30,351,469
31,352,459
32,358,475
33,384,412
34,421,398
35,371,404
36,364,399
37,378,402
38,376,409
39,461,346
40,472,261
41,461,259
42,484,259
43,397,292
44,448,231
45,461,230
46,474,223
47,476,232
48,455,189
49,487,99
50,413,69
51,459,24
52,419,113
53,385,144
54,398,208
55,375,270
56,593,251
57,612,309
58,597,397
59,646,404
60,658,340
61,716,331
62,723,369
63,739,220
64,678,157
65,713,136
66,749,87
67,699,28
68,705,97
69,632,172
70,645,167
71,650,162
72,644,197
73,592,133
74,571,206
75,526,276
76,563,302
77,632,126
78,673,48
79,582,59
80,599,57
81,587,60
82,574,57
83,591,58
84,608,53
85,588,54
86,577,64
87,603,38
88,578,38
89,593,40
90,612,36
91,611,12
92,518,183
93,345,168
94,143,218
95,204,239
96,200,292
97,250,270
98,237,201
99,241,199
100,235,209
101,232,199
102,229,192
103,249,196
104,83,493
105,151,496
106,157,559
107,198,575
108,177,779
109,260,755
110,339,757
111,339,669
112,396,676
113,458,678
114,461,593
115,508,513
116,550,485
117,477,551
118,520,582
119,590,552
120,586,612
121,643,536
122,642,591
123,692,481
124,756,490
125,780,560
126,638,491
127,659,513
128,695,522
129,720,576
130,769,601
131,571,697
132,619,696
133,559,767
134,567,777
135,471,713
136,474,776
137,537,656
138,525,665
139,546,651
140,534,649
141,530,655
142,530,665
143,538,661
144,539,652
145,526,665
146,545,625
147,508,648
148,518,641
149,502,644
150,510,667
151,650,652
152,698,688
153,672,724
154,735,684
155,689,712
156,664,765
157,632,766
158,616,755
159,630,790
160,612,777
161,728,743
162,775,783
163,735,793
164,742,791
165,692,783
166,701,777
167,668,771
168,698,768
169,705,787
170,729,781
171,748,789
172,752,795
173,726,788
174,498,409
175,544,398
176,551,444
177,583,348
178,549,339
179,745,409
180,784,324
181,705,274
182,657,259
183,660,243
184,663,222
185,648,276
186,665,257
187,118,125
188,149,166
189,114,24
190,201,55
191,208,116
192,258,77
193,265,370
194,309,123
195,336,61
196,327,62
197,341,76
198,297,38
199,332,31
200,341,26
201,342,20
202,41,92
203,33,21
204,24,144
205,51,223
206,41,172
207,21,169
208,60,180
209,48,259
210,35,271
211,63,268
212,62,307
213,74,358
214,118,347
215,102,258
216,108,299
217,15,353
218,37,414
219,17,570
220,78,570
221,17,643
222,201,621
223,246,641
224,177,663
225,157,603
226,124,579
227,43,684
228,10,699
229,65,682
230,19,723
231,57,688
232,6,761
233,18,742
234,23,727
235,12,732
236,25,713
237,23,748
238,394,730
239,436,692
240,426,716
241,419,746
242,423,694
243,429,680
244,432,696
245,433,706
246,426,720
247,425,732
248,435,668
249,414,743
250,423,747
251,435,682
252,435,676
253,319,791
254,340,795
255,372,781
256,389,769
257,303,794
258,412,787
259,514,783
260,526,730
261,530,702
262,535,747
263,489,681
264,499,679
265,498,692
266,762,649
267,701,602
268,728,609
269,760,621
270,781,722
271,670,598
272,677,591
273,677,607
274,671,586
275,681,600
276,628,448
277,652,444
278,636,446
279,654,436
280,630,438
281,644,440
282,638,451
283,646,452
284,764,162
285,779,224
286,792,136
287,764,15
288,299,248
289,247,176
290,257,169
291,249,164
292,276,186
293,292,200
294,240,138
295,255,147
296,301,209
297,291,219
298,314,215
299,300,190
300,204,393
301,228,342
302,233,410
303,108,381
304,131,366
305,122,377
306,120,389
307,95,421
308,585,457
309,579,460
310,592,460
311,587,466
312,597,447
313,484,28
314,483,35
315,488,18
316,476,32
317,492,26
318,488,32
319,480,18
320,299,11
321,360,6
322,415,6
323,502,17
324,496,8
325,505,8
326,275,322
327,283,335
328,219,166
329,137,326
330,129,318
331,124,328
332,144,330
333,13,793
334,120,793
335,133,793
336,126,784
337,107,794
338,133,791
339,124,787
340,114,788
341,125,795
342,512,143
343,522,140
344,510,153
345,510,126
